restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type
14894,3d41d2ee-f3fc-4bfd-b287-c952f219fa7f,128849018891,12,The Wooden Spoon,US,Saint Mary,37.88,-89.95,2022-08-03,21.59,18.99,0.0,18.99,1,tiny,small
14894,4e54b16f-014e-4b97-be90-5e8196e66440,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,26.74,0.15,22.729,3,small,small
14894,9a9e29d8-f1a1-4979-8e68-f952e89f2841,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,25.84,0.15,21.964,1,tiny,small
14894,ac87fa11-cf5a-400d-ae8c-267fc18c7d4f,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,8.48,0.05,8.056000000000001,3,small,small
14894,b44254f1-b2f4-4eef-905d-d629fec48840,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,24.91,0.0,24.91,3,small,small
14894,4e1a8f8f-830c-4482-83b0-8c28469f6032,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,16.17,0.0,16.17,3,small,small
14894,3606f0a7-67fd-4565-934c-bf47be534da6,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,23.01,0.05,21.8595,3,small,small
14894,3213ef92-2f3e-474a-86f2-2122d0c05760,128849018891,12,The Wooden Spoon,US,Saint Mary,37.88,-89.95,2022-08-03,21.59,1.42,0.15,1.2069999999999999,1,tiny,small
14894,077ea2ee-dc0d-4633-a59a-ea0688a34ad2,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,27.85,0.05,26.457500000000003,3,small,small
14894,de804689-d246-4e43-a1bb-2a5621bd5b26,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,29.01,0.05,27.5595,3,small,small
14894,a7d98e4a-ec4d-49b0-845f-9bbee5323c14,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,17.70,0.0,17.7,3,small,small
14894,c3dba260-b26d-4366-bbe2-3ffbe00db175,128849018891,12,The Wooden Spoon,US,Saint Mary,37.88,-89.95,2022-08-03,21.59,5.81,0.0,5.81,1,tiny,small
14894,eeb2ce7f-4acd-46c1-92b3-f441511127dc,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,20.01,0.0,20.01,1,tiny,small
14894,49b72131-9e8e-46a1-85fa-49c06b25c6c7,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,26.50,0.0,26.5,1,tiny,small
14894,24fdaaa5-a770-441b-8690-08917d2b6428,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,18.45,0.0,18.45,1,tiny,small
14894,caff095b-8669-4038-b705-41950d9c32a4,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,15.66,0.1,14.094,1,tiny,small
14894,17331657-4f3a-4006-8b69-cee283bdd77e,128849018955,76,Happy Hour Cafe,NL,Amsterdam,52.37,4.87,2022-08-03,17.91,17.05,0.1,15.345,3,small,small
14894,99a1dca7-321e-47a8-a993-ba20b7adc168,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,22.07,0.0,22.07,1,tiny,small
14894,0c88e235-07ca-47dd-b69c-d97f337f4e56,128849018896,17,The Rustic Table,US,Park City,40.73,-111.55,2022-08-03,23.97,8.55,0.0,8.55,1,tiny,small
14894,1066a828-f128-4eca-9e0e-17c22004e258,128849018919,40,Crimson Cafe,US,Silver Creek,45.5,12.25,2022-08-04,30.79,29.10,0.0,29.1,1,tiny,tiny
14894,cdc26fbd-dca3-4b9f-a78b-ade2b500eb21,128849018894,15,The Pearl Kitchen,US,Lovelock,40.19,-118.47,2022-08-04,25.19,12.49,0.0,12.49,1,tiny,tiny
