restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type,promo_cold_drinks
23242,27c56fb4-b4c9-4282-b6f4-d914fc1fde9c,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-18,28.91,20.26,0.15,17.221,1,tiny,tiny,true
23242,7eb1d25a-42f9-4353-b492-767ec2043f9c,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-18,21.50,14.13,0.05,13.4235,1,tiny,tiny,false
23242,fd85de67-67da-416d-b654-687ed524934d,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-18,21.50,24.29,0.0,24.29,1,tiny,tiny,false
23242,b539728d-5b71-4e83-8ec7-ec6360ad5f85,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-18,28.91,3.13,0.05,2.9735,1,tiny,tiny,true
23242,96810300-f86c-4433-9e7f-14b3ba33bd8b,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-18,28.91,27.35,0.0,27.35,1,tiny,tiny,true
23242,d7ba7b12-763a-46f8-b6b4-662efea499d2,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-18,28.91,4.46,0.05,4.237,1,tiny,tiny,true
23242,154f4152-dd4d-4ee0-b581-4b551b908079,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-18,21.50,18.54,0.0,18.54,1,tiny,tiny,false
23242,08ddce40-45b8-42a7-a5eb-3558e56cce25,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-18,21.50,29.95,0.0,29.95,1,tiny,tiny,false
23242,51b60e41-82b5-44f8-9e0a-df89feb64e01,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-18,21.50,13.98,0.1,12.582,1,tiny,tiny,false
48721,87944220-4cb3-41bd-acb8-55b63a101a42,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,19.17,0.0,19.17,3,small,large,false
48721,2c488e46-64e0-40c9-8a7e-6fa890718475,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,8.79,0.0,8.79,1,tiny,large,false
48721,05ae2e82-9857-46b2-9cbb-2395ee121276,163208757304,57,The Yellow Submarine,FR,Paris,48.87,2.29,2022-08-13,17.40,17.63,0.15,14.985499999999998,4,small,large,false
48721,df3255ef-75a4-4779-aae6-8a2fdbee7f83,163208757302,55,The Steak House,FR,Paris,48.86,2.34,2022-08-13,17.95,16.11,0.05,15.304499999999999,13,large,large,false
48721,940f924f-1c5a-4128-9174-44284407c1b1,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,14.95,0.0,14.95,4,small,large,false
48721,386aa827-76f6-42ae-8492-c446dde63623,163208757304,57,The Yellow Submarine,FR,Paris,48.87,2.29,2022-08-13,17.40,26.12,0.15,22.202,4,small,large,false
48721,65ec1244-a3bc-4450-abb6-4214d64fcb9c,163208757299,52,The Red Door,FR,Paris,48.85,2.37,2022-08-13,17.37,20.85,0.0,20.85,4,small,large,false
48721,02ad8727-2e5f-4a9d-a621-21bcabd3cd11,163208757301,54,The Spice House,FR,Paris,48.86,2.38,2022-08-13,17.65,24.45,0.1,22.005,2,small,large,false
48721,e5be8bd9-36f7-4929-a032-02b5a9b77aa7,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,9.63,0.15,8.185500000000001,3,small,large,false
48721,dfc62620-3a27-4c71-99b9-4c9c3ea56590,163208757298,51,The Pizzeria,FR,Paris,48.84,2.37,2022-08-13,17.80,12.26,0.05,11.647,3,small,large,false
48721,4088f1ad-22fb-427d-b3cb-226e62d4ae09,163208757299,52,The Red Door,FR,Paris,48.85,2.37,2022-08-13,17.37,11.89,0.0,11.89,4,small,large,false
48721,23940ba2-21b5-4c83-a94e-6c109b3d1fcd,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,3.37,0.05,3.2015000000000002,4,small,large,false
48721,d2ee3f86-3f7f-4656-8472-4358f57f3d11,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,28.20,0.0,28.2,4,small,large,false
48721,fcc5ea56-a4ba-43bc-bd6e-4792d9bb9baf,163208757302,55,The Steak House,FR,Paris,48.86,2.34,2022-08-13,17.95,8.29,0.05,7.875499999999999,13,large,large,false
48721,7e4495e6-fd6c-48a9-ba44-58dc61ed1f89,163208757306,59,Azalea Cafe,FR,Paris,48.87,2.29,2022-08-13,17.40,6.73,0.15,5.7205,4,small,large,false
48721,4f3ac461-6da2-4e51-a2d5-0128d1d0fdd2,163208757289,42,The Daily Scoop,IT,Milan,45.47,9.19,2022-08-13,22.19,25.69,0.0,25.69,18,large,large,false
48721,79869694-2d1b-4bec-8c88-57d207021a00,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,13.67,0.05,12.9865,1,tiny,large,false
48721,81c2de9f-4db1-4995-aa22-7eb9314adc83,163208757301,54,The Spice House,FR,Paris,48.86,2.38,2022-08-13,17.65,27.78,0.05,26.391000000000002,2,small,large,false
48721,3388b1ea-74a0-4d82-ab18-e7b076bc6dc2,163208757301,54,The Spice House,FR,Paris,48.86,2.38,2022-08-13,17.65,4.29,0.05,4.0755,2,small,large,false
48721,77106ba7-7176-4e1d-8f9f-1871a22dc52b,163208757301,54,The Spice House,FR,Paris,48.86,2.38,2022-08-13,17.65,0.40,0.15,0.34,2,small,large,false
48721,9405bf41-e5a0-4198-8b78-eff2689e719d,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,0.04,0.15,0.034,4,small,large,false
48721,f973aa32-974b-4be3-a719-b15132c60984,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,12.30,0.15,10.455,4,small,large,false
48721,46bd54fe-a532-4a2b-a23d-9395c0fd9e72,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,29.79,0.15,25.3215,1,tiny,large,false
48721,238431be-69c1-4557-adca-1df15813fcdd,163208757289,42,The Daily Scoop,IT,Milan,45.47,9.19,2022-08-13,22.19,29.17,0.0,29.17,18,large,large,false
48721,ea597983-1f7b-4a54-9173-092da0fb07ca,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,25.59,0.15,21.7515,3,small,large,false
48721,4439afb5-1ee8-4735-9b57-367cf29a754f,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,14.02,0.0,14.02,3,small,large,false
48721,97940895-793b-461d-b21e-f3e5baefd033,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,4.36,0.15,3.7060000000000004,3,small,large,false
48721,647ebe16-a74b-49aa-82d9-9b25ba558b51,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,13.95,0.15,11.8575,1,tiny,large,false
48721,e3e56d72-9b52-46f9-b613-2842b1dcd127,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,9.94,0.15,8.449,1,tiny,large,false
48721,e714af14-ea8b-4e51-a501-d9f71adb681e,163208757299,52,The Red Door,FR,Paris,48.85,2.37,2022-08-13,17.37,29.46,0.05,27.987000000000002,4,small,large,false
48721,4723da3e-733e-40be-84e6-b9757f44d1c3,163208757306,59,Azalea Cafe,FR,Paris,48.87,2.29,2022-08-13,17.40,26.08,0.0,26.08,4,small,large,false
48721,206c6aa1-6938-4456-be9a-835a0ce0d74d,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,26.93,0.0,26.93,4,small,large,false
48721,9143e069-750e-416d-9331-e4839308b333,163208757302,55,The Steak House,FR,Paris,48.86,2.34,2022-08-13,17.95,20.33,0.15,17.2805,13,large,large,false
48721,5e90bd57-ba9b-41bc-8d6d-49c6633773dc,163208757291,44,The French Kitchen,IT,Milan,45.48,9.17,2022-08-13,21.94,3.95,0.1,3.555,3,small,large,false
48721,27e3a527-576c-4cd4-89a3-e047d09255f5,163208757299,52,The Red Door,FR,Paris,48.85,2.37,2022-08-13,17.37,3.34,0.0,3.34,4,small,large,false
48721,cb273c5f-119e-41a1-ba65-3aef9fbc4ea9,163208757299,52,The Red Door,FR,Paris,48.85,2.37,2022-08-13,17.37,29.68,0.05,28.195999999999998,4,small,large,false
48721,b9d1cb5c-84bf-4042-beb5-5a7f318dbcb3,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,17.60,0.15,14.96,1,tiny,large,false
48721,ece4e0fc-0d82-4b51-b13c-0a5475823c3e,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,15.00,0.0,15.0,1,tiny,large,false
48721,fb52bf09-1848-4a00-8393-e40e64ada689,163208757304,57,The Yellow Submarine,FR,Paris,48.87,2.29,2022-08-13,17.40,22.86,0.0,22.86,4,small,large,false
48721,5d4178a3-4968-454a-b577-d7e3f1f07f0b,163208757298,51,The Pizzeria,FR,Paris,48.84,2.37,2022-08-13,17.80,27.71,0.05,26.3245,3,small,large,false
48721,1552c41c-2e6b-4ced-bc5f-c735b4598b48,163208757301,54,The Spice House,FR,Paris,48.86,2.38,2022-08-13,17.65,1.01,0.0,1.01,2,small,large,false
48721,2455b3c1-e0e8-4db1-8824-34967b16d9db,163208757302,55,The Steak House,FR,Paris,48.86,2.34,2022-08-13,17.95,5.56,0.0,5.56,13,large,large,false
48721,2a958287-643b-43b2-a2ee-2eeb45802751,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,23.83,0.15,20.255499999999998,4,small,large,false
48721,47dfb1a9-aa08-4ad3-bc89-21299dc65d67,163208757290,43,The Food House,IT,Milan,45.47,9.22,2022-08-13,22.75,19.98,0.15,16.983,1,tiny,large,false
48721,9e485af1-255d-429d-86b9-7c40f30c4813,163208757307,60,Big City Grill,FR,Paris,48.87,2.29,2022-08-13,17.40,4.80,0.15,4.08,4,small,large,false
