restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type,promo_cold_drinks
14894,08f0af2e-0d9e-43e3-b5e2-49f4eec6de5f,128849018931,52,The Red Door,FR,Paris,48.85,2.36,2022-08-13,17.46,14.02,0.0,14.02,1,tiny,large,false
14894,5ddef8ef-c81e-4ae6-8b13-6433248d61d0,128849018936,57,The Yellow Submarine,FR,Paris,48.87,2.34,2022-08-13,17.72,6.36,0.0,6.36,3,small,large,false
14894,265fb44f-6c21-40e7-9b07-559569de9f00,128849018939,60,Big City Grill,FR,Paris,48.87,2.34,2022-08-13,17.72,26.49,0.15,22.5165,3,small,large,false
14894,0fa679c3-4143-4ebd-9d3a-973cda47d029,128849018917,38,Cafe Viva,IT,Milan,45.46,9.17,2022-08-13,21.96,23.68,0.15,20.128,1,tiny,large,false
14894,9a14254f-0d76-4183-a433-f5d7dedb37f7,128849018927,48,The Local Cafe,FR,Paris,48.84,2.39,2022-08-13,17.91,13.82,0.15,11.747,1,tiny,large,false
14894,780d72d2-01c2-4049-bf69-dce105770ddd,128849018925,46,The Italian Table,FR,Paris,48.83,2.35,2022-08-13,17.21,14.70,0.15,12.495,2,small,large,false
14894,a406f4c2-0805-4505-a98b-b1671abfdb7d,128849018918,39,Cinnamon Grill,IT,Milan,45.47,9.19,2022-08-13,22.19,23.28,0.05,22.116,18,large,large,false
14894,1a2c2070-3b11-4ae3-9207-7b53336ef2e6,128849018909,30,The Wine Cellar,US,West Yarmouth,41.66,-70.26,2022-08-13,20.43,8.44,0.15,7.1739999999999995,2,small,large,false
14894,f2225346-0c76-406f-bc7c-600ee289623b,128849018925,46,The Italian Table,FR,Paris,48.83,2.35,2022-08-13,17.21,16.63,0.05,15.798499999999999,2,small,large,false
14894,6bf34c6c-9530-4a36-bcd9-1dc2517b6bac,128849018926,47,The Juicy Burger,FR,Paris,48.84,2.33,2022-08-13,17.41,28.33,0.0,28.33,8,small,large,false
