restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type,promo_cold_drinks
17484,32c76c9c-749b-4f6f-a2ee-159147c76806,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,25.25,0.05,23.9875,1,tiny,tiny,true
17484,243dd1a7-f03e-490f-9d9f-415c4d10d126,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,28.93,0.0,28.93,1,tiny,tiny,true
17484,0c6f9aac-5f83-45f0-b4a1-aac3e289ac5b,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,28.99,0.0,28.99,1,tiny,tiny,true
17484,09a06fa3-8bc9-4d7f-885a-660a639eed66,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,12.34,0.15,10.489,1,tiny,tiny,true
17484,4f4923af-9fb8-4447-be3e-d9f6def31dd1,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,6.33,0.0,6.33,1,tiny,tiny,true
17484,db85b96b-afdb-4ad7-ac2e-fd63988e59cc,137438953483,12,The Wooden Spoon,US,Denver,39.92,-104.99,2022-09-20,21.11,9.52,0.0,9.52,1,tiny,tiny,false
17484,a5a26ec4-541b-47ea-9cdf-4d88d44ad7e9,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,5.99,0.15,5.0915,1,tiny,tiny,true
17484,51241719-07d7-44b1-825e-d64211814d90,137438953483,12,The Wooden Spoon,US,Denver,39.92,-104.99,2022-09-20,21.11,12.58,0.0,12.58,1,tiny,tiny,false
17484,5f17f15a-30dc-4edf-bb1c-0b00db3ef62c,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,29.47,0.1,26.523,1,tiny,tiny,true
17484,ca73b526-2cda-41d5-a271-f3e34a45ac67,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,29.01,0.0,29.01,1,tiny,tiny,true
17484,3e2e58d5-94b3-4007-bfae-ae8e3f1a0747,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,8.12,0.0,8.12,1,tiny,tiny,true
17484,e6367def-237a-493d-be79-8c15709e9508,137438953483,12,The Wooden Spoon,US,Denver,39.92,-104.99,2022-09-20,21.11,22.77,0.15,19.3545,1,tiny,tiny,false
17484,3526fbc3-4a64-45c1-8398-6279e81f43bf,137438953476,5,The Hungry Hippo,US,Amarillo,35.19,-101.92,2022-09-20,25.51,13.58,0.0,13.58,1,tiny,tiny,true
