restaurant_franchise_id,receipt_id,id,franchise_id,franchise_name,country,city,lat,lng,date,avg_tmpr_c,total_cost,discount,real_total_cost,items_count,order_size,most_popular_order_type,promo_cold_drinks
23242,7f37cde2-a0bf-4b51-8a8e-c66e94384e6f,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,19.40,0.05,18.43,2,small,small,false
23242,99992f07-82d8-48f7-8594-a69a3143cbb5,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,24.33,0.1,21.897,1,tiny,small,false
23242,a1087f7a-9c8d-47d4-a6cc-7f1f86f30df9,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,7.75,0.15,6.5875,2,small,small,false
23242,7c72cc54-01a3-405c-ba04-2915bf9ead66,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,25.47,0.0,25.47,2,small,small,false
23242,b3e626cb-6d7b-458b-9e43-881e3a3a3db7,214748364876,77,Harvest Kitchen,NL,Amsterdam,52.34,4.87,2022-08-07,16.38,21.81,0.0,21.81,1,tiny,small,false
23242,18112c95-dbc0-416c-a287-40dc09896834,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,14.61,0.15,12.4185,1,tiny,small,false
23242,71e6c50c-5e99-4f37-ad8b-d74c9bf802ac,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,21.71,0.1,19.539,2,small,small,false
23242,3d489a62-98c9-48d8-81fc-9e764fb2b7a5,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,8.68,0.0,8.68,2,small,small,false
23242,49e15f62-d054-4db5-bd18-e79652e3c2cc,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,0.36,0.15,0.306,2,small,small,false
23242,d69e8612-0ee4-4cdf-a8ed-d3f6c8c00367,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,0.47,0.0,0.47,2,small,small,false
23242,22b0f08f-94c2-4da6-94ad-9453606382ec,214748364876,77,Harvest Kitchen,NL,Amsterdam,52.34,4.87,2022-08-07,16.38,16.66,0.15,14.161,1,tiny,small,false
23242,78399fd3-8798-47a5-8075-20e3b2bfd71b,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,21.62,0.15,18.377000000000002,2,small,small,false
23242,b89983e8-5a10-415c-8f08-fae073d0d685,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,9.22,0.0,9.22,1,tiny,small,false
23242,659ccd73-966d-4bf7-9212-a2cc1d947f46,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,15.89,0.15,13.5065,1,tiny,small,false
23242,12a3dbc9-a9b3-46d0-a521-2cf08fac6b4c,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,3.65,0.0,3.65,1,tiny,small,false
23242,aa037e96-1a37-48bd-a7aa-f40e37e98485,214748364876,77,Harvest Kitchen,NL,Amsterdam,52.34,4.87,2022-08-07,16.38,28.91,0.1,26.019,1,tiny,small,false
23242,ff73b52e-b788-472e-b117-e4dc4f4486a4,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,19.44,0.0,19.44,1,tiny,small,false
23242,8f3c44bd-d661-49c6-babb-bcac378fb22b,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,5.71,0.0,5.71,1,tiny,small,false
23242,07ec9aa8-0c88-45fb-9527-4c8c5e52d36a,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,24.73,0.15,21.020500000000002,1,tiny,small,false
23242,acbdf7e9-5cb7-4193-bd12-55515c3118f3,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,8.31,0.0,8.31,1,tiny,small,false
23242,4d84652f-09b2-483c-82e9-d69a25fea50a,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,12.29,0.0,12.29,2,small,small,false
23242,79de4824-facd-4d6c-b436-026c99a0a5a2,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,0.30,0.0,0.3,1,tiny,small,false
23242,1fdcd993-5145-4f68-8bb5-eccc2345e935,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,3.50,0.05,3.325,1,tiny,small,false
23242,7e247774-8ee9-41c8-b795-1df4b31f04ec,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,23.39,0.15,19.8815,1,tiny,small,false
23242,77fc73b8-41be-467e-8096-3e2b7a24e605,214748364809,10,The Golden Spoon,US,El Reno,35.51,-97.97,2022-08-07,24.59,2.84,0.0,2.84,1,tiny,small,false
23242,c21c17b4-773f-4771-b974-71d6dcf30241,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,0.45,0.1,0.405,1,tiny,small,false
23242,16e410df-3aa4-4283-b35d-ce5444c17532,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,23.09,0.05,21.9355,1,tiny,small,false
23242,78ae2607-9026-4412-a7eb-2d85f4155da8,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,27.75,0.0,27.75,2,small,small,false
23242,6bc47dcb-2c2d-4186-9104-8d6c65164230,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,10.06,0.15,8.551,2,small,small,false
23242,888d8723-3ef0-4dc4-872b-1818951268d4,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,4.24,0.15,3.604,2,small,small,false
23242,4d92bdbe-e34f-4e3d-bcdf-ca2a552c4092,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,1.88,0.0,1.88,1,tiny,small,false
23242,513fbd3c-1077-4999-a187-8f3853d11aba,214748364876,77,Harvest Kitchen,NL,Amsterdam,52.34,4.87,2022-08-07,16.38,5.57,0.15,4.734500000000001,1,tiny,small,false
23242,1f229856-6326-43dc-a865-5c3ad5291575,214748364876,77,Harvest Kitchen,NL,Amsterdam,52.34,4.87,2022-08-07,16.38,26.86,0.0,26.86,1,tiny,small,false
23242,98be8740-8caf-4a7a-b6de-3ccd919915a4,214748364877,78,The Hot Spot,NL,Amsterdam,52.36,4.9,2022-08-07,16.39,21.53,0.0,21.53,2,small,small,false
23242,1150c484-db1e-4a74-b9a5-68e0ecee1cc4,214748364824,25,The Cozy Cafe,US,Schenectady,42.76,-73.94,2022-08-07,18.48,12.61,0.05,11.9795,1,tiny,small,false
23242,c577af6f-5a0e-4e12-80ee-1d894f8d3737,214748364804,5,The Hungry Hippo,US,Summerton,33.59,-80.36,2022-08-08,23.20,18.08,0.0,18.08,1,tiny,tiny,false
23242,cd4a4151-d1ec-4d76-8169-699c9ee69ab5,214748364804,5,The Hungry Hippo,US,Summerton,33.59,-80.36,2022-08-08,23.20,23.57,0.05,22.3915,1,tiny,tiny,false
